name,address,online_order,book_table,location,restaurant_type,cuisines,category,city,votes,rating,cost_for_two
360 Atoms Restaurant And Cafe,"47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",Dine-out,Banashankari,13,3.1,400.0
New Prashanth Hotel,"215, 2nd Main, Thygarajanagar, Basavanagudi, Bangalore",No,No,Basavanagudi,Casual Dining,"South Indian, Biryani, Chinese, North Indian",Dine-out,Banashankari,34,2.9,750.0
Meat And Eat,"241, 100 Feet Road, Opposite Eshwari Theater, 3rd stage, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,"Fast Food, Burger",Delivery,Banashankari,10,3.1,500.0
Ovenstory Pizza,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Delivery,Pizza,Delivery,Banashankari,172,3.9,750.0
1947,"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",No,Yes,Banashankari,Casual Dining,"North Indian, Chinese",Delivery,Banashankari,808,4.0,850.0
Redberrys,"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Cafe,"Cafe, Italian",Desserts,Banashankari,219,4.0,600.0
New Rajadhani Spicy,"16, Lalitha Enterprises, Kadirenahalli Main, Bendre Nagar, Kumaraswamy Layout, Bangalore",Yes,No,Kumaraswamy Layout,Casual Dining,North Indian,Delivery,Banashankari,67,3.7,700.0
Srikrishna Bhavan,"Next To BMTC Bus Stand, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",Dine-out,Banashankari,42,3.8,300.0
@Italy,"1766, 14th Main, 1st Stage, Kumaraswamy Layout, Bangalore",Yes,No,Kumaraswamy Layout,Casual Dining,Italian,Delivery,Banashankari,305,4.1,700.0
Masale Daan,"Fresh Menu, Stavyah Arcade #10, 3rd floor 9th Main, Opp to Daily Bread, Yarab Nagar Main Rd, Banashankari Stage II, Bengaluru- 560070.",Yes,No,Banashankari,Delivery,North Indian,Delivery,Banashankari,4,3.1,350.0
Mystique Palate,"615/1, 10th C Main,32nd Cross Road ,Janardhan Mansion, 4th Block, Jayanagar, Bangalore",Yes,No,Jayanagar,Quick Bites,"Chinese, Fast Food",Delivery,Banashankari,337,4.1,300.0
Kabab Magic,"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",Delivery,Banashankari,1720,4.1,400.0
Srinivasa Brahmins Bakery,"125, 1st Floor, Abalashram Building, DV Gundappa Road, Basavanagudi, Bangalore",No,No,Basavanagudi,"Bakery, Quick Bites","Bakery, Street Food",Desserts,Banashankari,16,3.6,150.0
Roti Ghar,"17, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian",Delivery,Banashankari,750,3.9,500.0
Hotel Pork Paradise,"D/25, 2nd Main, 260 Mysore Road Tollgate, Opposite Gopalan Mall, Mysore Road, Bangalore",Yes,No,Mysore Road,Quick Bites,South Indian,Dine-out,Banashankari,21,3.7,300.0
Food Springs,"559, 32nd Cross, 10th A Main, 4th Block, Jayanagar, Bangalore",Yes,No,Jayanagar,Quick Bites,"South Indian, Chinese",Delivery,Banashankari,232,4.0,400.0
Subway,"186, 16th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,"Salad, Fast Food",Delivery,Banashankari,136,3.7,600.0
LSD Cafe,"100 Feet Road, 3rd Stage, Banashankari, Bangalore",No,No,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",Delivery,Banashankari,84,2.9,700.0
Shree Mahalakshmi Sweets,"344, 50 Feet Road, Dasarhalli, Srinagar, Banashankari, Bangalore",Yes,No,Banashankari,Sweet Shop,"Mithai, Street Food",Desserts,Banashankari,8,3.2,100.0
Kadalu Sea Food Restaurant,"36, 2nd Main, RPC Layout, Vijay Nagar, Bangalore",Yes,No,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",Delivery,Banashankari,153,3.8,500.0
Roving Feast,"78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",No,No,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",Delivery,Banashankari,1047,4.0,450.0
Maruthi Davangere Benne Dosa,"556/A, Water Tank Road, 3rd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,South Indian,Delivery,Banashankari,17,4.0,150.0
Floured-Baked With Love,"415, 1st C Cross, Banashankari 3rd Stage, 5th Block, Bangalore, Banashankari, Bangalore",No,No,Banashankari,"Takeaway, Delivery",Bakery,Delivery,Banashankari,45,3.8,400.0
Daal Roti,"139, Behind Police Station, 72nd Cross, Kumaraswamy Layout, Bangalore",Yes,No,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",Delivery,Banashankari,35,2.9,250.0
Vaishali Deluxe,"512, 2nd Cross, 3rd Stage, Banashankari, Bangalore",No,No,Banashankari,Casual Dining,"North Indian, Chinese",Delivery,Banashankari,42,3.8,700.0
Bhattara Bhojana,"855/A, 5th A Cross,10th Main Road, Srinivasanagar, Towords Maruthi Circle, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,South Indian,Dine-out,Banashankari,66,3.6,150.0
New Mangalore Lunch Home,"89, Near PES College, 22nd Main Road, Girinagar, 1st Stage, Banashankari, Bangalore",No,No,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",Dine-out,Banashankari,7,3.3,200.0
